ticker,entry_date,entry_price,exit_date,exit_price,qty,cost,proceeds,pnl,reason,target,stop_loss
M&M.NS,2025-02-07,3076.01,2025-02-14,2919.15,16,49216.16,46706.4,-2509.760000000002,STOP_LOSS,3366.86,3027.53
MARUTI.NS,2025-01-03,11560.86,2025-02-21,12191.5,5,57804.3,60957.5,3153.199999999997,STOP_LOSS,13498.93,12467.9
BHARTIARTL.NS,2025-01-10,1573.28,2025-02-21,1625.66,36,56638.08,58523.76,1885.6800000000003,STOP_LOSS,1782.31,1643.19
DIVISLAB.NS,2025-02-07,5906.49,2025-02-21,5730.95,8,47251.92,45847.6,-1404.3199999999997,STOP_LOSS,6525.17,5803.37
TATACONSUM.NS,2025-01-10,947.24,2025-02-28,956.61,60,56834.4,57396.6,562.1999999999971,STOP_LOSS,1075.63,967.23
WIPRO.NS,2025-01-24,298.32,2025-02-28,272.29,183,54592.56,49829.07000000001,-4763.489999999991,STOP_LOSS,329.63,298.54
ULTRACEMCO.NS,2025-01-31,11119.22,2025-02-28,10064.65,4,44476.88,40258.6,-4218.279999999999,STOP_LOSS,12306.08,11013.18
SBILIFE.NS,2025-02-07,1430.38,2025-02-28,1427.78,34,48632.920000000006,48544.52,-88.40000000000873,STOP_LOSS,1552.88,1447.32
CIPLA.NS,2025-02-21,1426.24,2025-02-28,1392.62,41,58475.840000000004,57097.42,-1378.4200000000055,STOP_LOSS,1527.97,1409.29
NTPC.NS,2025-02-21,311.34,2025-02-28,305.73,188,58531.92,57477.240000000005,-1054.679999999993,STOP_LOSS,338.1,306.88
BAJAJFINSV.NS,2025-01-03,1663.83,2025-03-13,1806.57,35,58234.049999999996,63229.95,4995.9000000000015,STOP_LOSS,1966.4,1812.46
CIPLA.NS,2025-03-13,1418.02,2025-03-28,1426.96,34,48212.68,48516.64,303.9599999999991,STOP_LOSS,1555.43,1471.98
SUNPHARMA.NS,2025-03-21,1745.63,2025-03-28,1729.01,23,40149.490000000005,39767.23,-382.26000000000204,STOP_LOSS,1844.67,1729.13
JSWSTEEL.NS,2025-02-07,953.19,2025-04-04,1003.05,52,49565.880000000005,52158.6,2592.719999999994,STOP_LOSS,1099.69,1022.98
TATASTEEL.NS,2025-02-07,131.38,2025-04-04,137.19,377,49530.259999999995,51720.63,2190.3700000000026,STOP_LOSS,161.77,147.64
RELIANCE.NS,2025-03-07,1220.84,2025-04-04,1199.91,53,64704.52,63595.23,-1109.2899999999936,STOP_LOSS,1318.59,1235.78
COALINDIA.NS,2025-03-07,350.3,2025-04-04,364.51,185,64805.5,67434.34999999999,2628.8499999999913,STOP_LOSS,403.79,368.77
LT.NS,2025-03-21,3316.4,2025-04-04,3230.03,12,39796.8,38760.36,-1036.4400000000023,STOP_LOSS,3612.42,3345.74
BAJAJFINSV.NS,2025-03-28,1960.58,2025-04-04,1911.37,12,23526.96,22936.44,-590.5200000000004,STOP_LOSS,2097.96,1937.68
ONGC.NS,2025-03-28,232.89,2025-04-04,219.45,101,23521.89,22164.449999999997,-1357.4400000000023,STOP_LOSS,251.91,229.72
ICICIBANK.NS,2025-03-13,1222.65,2025-04-11,1301.61,39,47683.350000000006,50762.78999999999,3079.439999999988,STOP_LOSS,1386.55,1301.63
GAIL.NS,2025-03-21,169.16,2025-04-11,170.73,246,41613.36,41999.579999999994,386.2199999999939,STOP_LOSS,193.81,173.12
VBL.NS,2025-03-21,516.26,2025-04-25,520.94,80,41300.8,41675.200000000004,374.40000000000146,STOP_LOSS,592.11,528.35
EICHERMOT.NS,2025-03-07,4909.48,2025-05-02,5370.36,13,63823.23999999999,69814.68,5991.440000000002,STOP_LOSS,5905.45,5381.09
