NIFTY50 WEEKLY TRADING ANALYSIS
Generated: 2026-06-05 19:24:54

BUY SIGNALS (848):
  MIDHANI.NS      | Price:  443.25 | Entry:  434.38 | Target:  540.46 | Risk: LOW       
  THYROCARE.NS    | Price:  520.75 | Entry:  510.33 | Target:  609.52 | Risk: LOW       
  ARVINDFASN.NS   | Price:  471.10 | Entry:  461.68 | Target:  542.03 | Risk: LOW       
  EQUITASBNK.NS   | Price:   72.30 | Entry:   70.85 | Target:   83.72 | Risk: LOW       
  PGIL.NS         | Price: 1678.70 | Entry: 1645.13 | Target: 1966.32 | Risk: LOW       
  CUPID.NS        | Price:  133.09 | Entry:  130.43 | Target:  154.98 | Risk: LOW       
  IFBIND.NS       | Price: 1268.80 | Entry: 1243.42 | Target: 1612.87 | Risk: LOW       
  PARKHOSPS.NS    | Price:  285.90 | Entry:  280.18 | Target:  340.01 | Risk: LOW       
  AVALON.NS       | Price: 1637.70 | Entry: 1604.95 | Target: 2121.16 | Risk: LOW       
  SURYAROSNI.NS   | Price:  255.54 | Entry:  250.43 | Target:  324.63 | Risk: LOW       
  HNDFDS.NS       | Price:  536.70 | Entry:  525.97 | Target:  623.08 | Risk: LOW       
  UTLSOLAR.NS     | Price:  352.50 | Entry:  345.45 | Target:  428.66 | Risk: LOW       
  AVL.NS          | Price:  536.75 | Entry:  526.01 | Target:  621.16 | Risk: LOW       
  RTNPOWER.NS     | Price:    9.70 | Entry:    9.51 | Target:   11.43 | Risk: LOW       
  GREENLAM.NS     | Price:  235.94 | Entry:  231.22 | Target:  305.98 | Risk: LOW       
  SUPRAJIT.NS     | Price:  470.70 | Entry:  461.29 | Target:  554.95 | Risk: LOW       
  VMART.NS        | Price:  672.35 | Entry:   658.9 | Target:  767.30 | Risk: LOW       
  GOKEX.NS        | Price:  696.55 | Entry:  682.62 | Target:  817.67 | Risk: LOW       
  ASHAPURMIN.NS   | Price:  740.60 | Entry:  725.79 | Target:  920.42 | Risk: LOW       
  SWSOLAR.NS      | Price:  200.53 | Entry:  196.52 | Target:  239.24 | Risk: LOW       
  VIPIND.NS       | Price:  330.80 | Entry:  324.18 | Target:  406.19 | Risk: LOW       
  SMARTWORKS.NS   | Price:  450.20 | Entry:   441.2 | Target:  532.31 | Risk: LOW       
  IMFA.NS         | Price: 1536.30 | Entry: 1505.57 | Target: 1891.16 | Risk: LOW       
  SUPRIYA.NS      | Price:  952.10 | Entry:  933.06 | Target: 1247.65 | Risk: LOW       
  PARAS.NS        | Price:  893.80 | Entry:  875.92 | Target: 1105.05 | Risk: LOW       
  SAATVIKGL.NS    | Price:  464.55 | Entry:  455.26 | Target:  564.98 | Risk: LOW       
  SKIPPER.NS      | Price:  574.65 | Entry:  563.16 | Target:  693.54 | Risk: LOW       
  STLTECH.NS      | Price:  651.60 | Entry:  638.57 | Target:  777.37 | Risk: LOW       
  STYL.NS         | Price:  269.65 | Entry:  264.26 | Target:  341.40 | Risk: LOW       
  ICIL.NS         | Price:  333.10 | Entry:  326.44 | Target:  408.76 | Risk: LOW       
  SHOPERSTOP.NS   | Price:  361.40 | Entry:  354.17 | Target:  428.26 | Risk: LOW       
  FIEMIND.NS      | Price: 2333.80 | Entry: 2287.12 | Target: 2687.59 | Risk: LOW       
  TVSSCS.NS       | Price:  122.65 | Entry:   120.2 | Target:  146.79 | Risk: LOW       
  RESPONIND.NS    | Price:  188.13 | Entry:  184.37 | Target:  255.65 | Risk: LOW       
  LXCHEM.NS       | Price:  161.11 | Entry:  157.89 | Target:  199.76 | Risk: LOW       
  CRIZAC.NS       | Price:  214.88 | Entry:  210.58 | Target:  269.04 | Risk: LOW       
  AGI.NS          | Price:  600.55 | Entry:  588.54 | Target:  692.07 | Risk: LOW       
  UNIMECH.NS      | Price: 1094.90 | Entry:  1073.0 | Target: 1282.97 | Risk: LOW       
  E2E.NS          | Price:  431.36 | Entry:  422.73 | Target:  539.75 | Risk: LOW       
  GOKULAGRO.NS    | Price:  231.80 | Entry:  227.16 | Target:  281.92 | Risk: LOW       
  FEDFINA.NS      | Price:  162.05 | Entry:  158.81 | Target:  190.46 | Risk: LOW       
  OPTIEMUS.NS     | Price:  454.30 | Entry:  445.21 | Target:  548.16 | Risk: LOW       
  KINGFA.NS       | Price: 5370.00 | Entry:  5262.6 | Target: 6419.21 | Risk: LOW       
  KRN.NS          | Price: 1217.70 | Entry: 1193.35 | Target: 1534.06 | Risk: LOW       
  WEBELSOLAR.NS   | Price:  112.64 | Entry:  110.39 | Target:  136.75 | Risk: LOW       
  ROUTE.NS        | Price:  526.65 | Entry:  516.12 | Target:  602.83 | Risk: LOW       
